PhraseId,SentenceId,Phrase,Sentiment
96724,5052,"It looks like an action movie , but it 's so poorly made , on all levels , that it does n't even qualify as a spoof of such .",0
82487,4259,The banter,2
73343,3748,"A gorgeously strange movie , Heaven",4
128867,6931,the strange horror of life,0
141375,7669,A finely tuned mood,3
37472,1778,", discontent , and yearning",1
4816,184,"aims to be funny , uplifting and moving , sometimes",3
104640,5526,"Impeccably filmed , sexually charged , but ultimately lacking in substance , not to mention dragged down by a leaden closing act .",2
103033,5431,"The year 2002 has conjured up more coming-of-age stories than seem possible , but Take Care of My Cat emerges as the very best of them",4
75195,3857,its 100 minutes,2
35601,1678,"cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you",3
146374,7961,one of those comedies that just seem like a bad idea from frame one,0
7075,285,as sharp as the original,3
34113,1602,'re supposed to shriek,3
43987,2132,is a filmmaker of impressive talent,4
84048,4342,both exhibit sharp comic timing that makes the more hackneyed elements of the film easier to digest,2
71121,3629,to justify a three hour running time,2
99345,5209,'s a worthy entry in the French coming-of-age genre,4
38633,1841,"However sincere it may be , The Rising Place never quite justifies its own existence .",1
65883,3341,to portray themselves in the film,2
112932,5998,"a movie so sloppy , so uneven , so damn unpleasant that I ca n't believe any viewer , young or old ,",0
1959,72,after the clever credits roll,3
69033,3507,since Ghostbusters,3
48803,2383,"jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology",4
141954,7699,slapping its target audience,1
31321,1464,become one of those rare remakes to eclipse the original,3
23477,1064,the screen to attract and sustain an older crowd,3
84602,4377,so badly made on every level,0
149950,8167,steal a movie,2
139953,7592,"considerable skill and determination ,",3
62699,3171,a rather simplistic one,2
115612,6161,amazing breakthrough,4
31463,1473,is too pedestrian a filmmaker to bring any edge or personality to The Rising Place that would set it apart from other Deep South stories,0
71249,3635,grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration,1
99716,5231,things will turn out,3
115856,6174,farm,2
149185,8118,"play off each other virtually to a stand-off , with the unfortunate trump card being the dreary mid-section of the film .",1
6262,249,more enjoyable than I expected,3
138041,7467,made with careful attention,3
3543,132,delicious pulpiness,3
52546,2601,"each other so intensely , but with restraint",3
74814,3835,"The story is -- forgive me -- a little thin , and",1
33522,1572,believability,3
91783,4777,a quest story as grand as The Lord of the Rings,4
145296,7895,his generation 's,3
139473,7566,one of our best actors,4
12519,537,Not that any,2
71484,3646,"bland , obnoxious 88-minute",0
138487,7501,well-acted and well-intentioned,4
120665,6453,'s no way you wo n't be talking about the film once you exit the theater .,4
144439,7843,", there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",3
94302,4922,has dreamed up such blatant and sickening product placement in a movie,0
90806,4725,a light-hearted way the romantic problems,4
110370,5845,sparkling beauty,4
13376,575,undone by his pretensions,1
96890,5066,"A heady , biting , be-bop",3
53390,2648,Lan Yu,2
107190,5664,has come to New York City to replace past tragedy with the American Dream,3
119294,6376,"for an absurd finale of twisted metal , fireballs and revenge",1
38765,1849,"goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults",4
79276,4082,"dramatic , funny and poignant",4
140562,7627,"as far as art is concerned , it 's mission accomplished",4
85456,4420,"Every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat",4
155558,8514,Every conceivable mistake a director could make in filming opera,0
151819,8284,humor and eye-popping,4
39322,1877,true for being so hot-blooded,3
61326,3099,are too crude to serve the work especially well,1
72975,3727,the perfect star vehicle for Grant,4
132306,7133,will find that The Road to Perdition leads to a satisfying destination,3
61935,3132,of ` time waster ',2
9146,381,peace,2
95830,5007,takes chances that are bold by studio standards,3
39427,1883,from a grenade with his teeth,2
131825,7106,say for sure,2
141408,7671,"demonstrates that Werner Herzog can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken .",3
91039,4735,an hour 's worth,2
22707,1028,the Queen 's Men,2
17985,783,the power of fantasy,4
144509,7845,dramatically satisfying heroine,4
153554,8385,the laborious pacing and,1
106320,5613,poignant and wryly amusing film,3
118429,6327,smart and entirely charming,4
125232,6728,"whiny , pathetic , starving and untalented artistes",0
124850,6708,'s the best brush in the business,2
56068,2805,comedy Death,0
63577,3219,an earnest try at beachcombing verismo,3
68044,3452,will find Morrison 's iconoclastic uses of technology to be liberating .,3
2092,80,", memorable cinematic experience",4
8791,366,told well by a master storyteller,3
137745,7454,a big letdown,0
75961,3898,the same way you came -- a few tasty morsels under your belt,2
54418,2704,"really , really good things",3
114851,6115,the most annoying thing,0
73216,3739,"As it is , it 's too long and unfocused .",0
96957,5068,"while you watch it , offering fine acting moments and pungent insights into modern L.A. 's show-biz and media",3
94621,4939,just a series,2
109742,5814,its emphasis on caring for animals and respecting other cultures,4
74326,3808,way too full of itself,1
15082,648,oddly humorous,4
27113,1248,", poorly written , murky and weakly acted , the picture feels as if everyone making it lost their movie mojo .",0
99456,5215,"But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .",2
131813,7105,humanistic,3
36603,1732,'s just merely very bad,0
122164,6547,most disappointing Woody Allen movie,0
129616,6971,that made the first film so special,3
25036,1141,the subject matter justice,2
7029,281,ripoff,0
23946,1087,"degenerating into a pious , preachy soap opera",0
82977,4284,", but Miss Wonton floats beyond reality with a certain degree of wit and dignity .",4
106785,5640,fuss or noise,1
149779,8154,central role,2
15589,668,that we `` ca n't handle the truth '' than High Crimes,2
55676,2783,a reasonable degree,3
78824,4056,the body,2
152107,8299,have brought back the value and respect for the term epic cinema .,4
68016,3452,more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ',3
56947,2865,strokes the eyeballs,3
87768,4557,Does n't add up to much .,0
38119,1813,"Spirit 's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world .",4
65284,3305,"is so slovenly done , so primitive in technique , that it ca n't really be called animation .",0
47658,2323,"honest , and enjoyable comedy-drama",4
126894,6822,most repellent,0
67968,3450,sit through about 90 minutes of a so-called ` comedy ' and not laugh,0
48253,2355,"a solid , anguished performance",4
42322,2039,the Kahlo movie Frida fans have been looking for,3
94150,4913,"there 's apparently nothing left to work with , sort of like Michael Jackson 's nose .",0
24305,1104,is provided,2
128678,6921,'s not so much a movie as a joint promotion for the National Basketball Association and teenaged rap and adolescent poster-boy Lil ' Bow Wow,0
10037,421,in movies,2
17479,758,to Pamela 's emotional roller coaster life,3
9574,398,winds up mired in tear-drenched quicksand .,0
65745,3333,"It 's a loathsome movie ,",0
93313,4867,It 's all surface psychodramatics .,0
113978,6059,the movie as a whole,3
145227,7892,"Armed with a game supporting cast , from the pitch-perfect Forster to the always hilarious Meara and Levy , Like Mike shoots and scores , doing its namesake proud .",4
17058,739,something else,2
150297,8185,Anne Geddes,2
45257,2201,Both damning and damned compelling .,3
128795,6927,one that was hard for me to warm up to,1
143043,7764,you 've a taste for the quirky,3
109148,5780,searching for a quarter in a giant pile of elephant feces ... positively dreadful,0
42069,2025,"we 've ever seen before , and yet completely familiar .",2
57641,2906,hilarious -RRB-,4
81473,4201,energetic and,3
75660,3878,"no wit , only labored gags",1
120637,6450,how to win the battle,3
15197,653,dreaminess,3
71414,3642,when his story ends or just ca n't tear himself away from the characters,4
72365,3699,It makes me say the obvious : Abandon all hope of a good movie ye who enter here .,0
78463,4035,make his debut as a film director,2
155715,8523,sets a new benchmark for lameness,1
44726,2169,", you 'll swear that you 've seen it all before , even if you 've never come within a mile of The Longest Yard .",0
12538,537,a lot to be desired,2
48051,2343,one of the greatest plays of the last 100 years,4
79538,4095,extraordinary access,3
97570,5103,could be a passable date film,3
113337,6023,the skinny side,2
60298,3045,"more in common with a fireworks display than a movie , which normally is expected to have characters and a storyline",0
154489,8446,"by the time it 's done with us , Mira Nair 's new movie has its audience giddy with the delight of discovery , of having been immersed in a foreign culture only to find that human nature is pretty much the same all over .",4
37857,1800,"an intelligent , realistic portrayal",4
111975,5944,"A pathetic exploitation film that tries to seem sincere , and just",2
84575,4375,having fun with it all,3
60400,3050,costumes by Gianni Versace,2
36649,1735,giggle,2
12726,548,becomes long and tedious like a classroom play in a college history course,0
52185,2578,"jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except ,",1
882,33,"Ice Age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .",2
81326,4192,"we 've seen -LRB- Eddie -RRB- Murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed",1
95668,4997,"something , one that attempts and often achieves a level of connection and concern",3
37433,1777,fifties teen-gang machismo,2
76361,3922,Sheridan 's take on the author 's schoolboy memoir ... is a rather toothless take on a hard young life .,0
45749,2224,that it makes Edward Burns ' Sidewalks of New York look like Oscar Wilde,1
147308,8015,interesting controversy,3
142517,7736,into this Thornberry stuff,2
26093,1194,too many scenes toward the end,1
30744,1430,too much exploitation,1
31668,1484,funny and wise,3
39203,1871,Final verdict : You 've seen it all before .,0
143758,7802,Rich in atmosphere of the post-war art world,3
141786,7692,in -LRB- the characters ' -RRB- misery,1
6203,246,"whose view of America , history and the awkwardness of human life is generous and deep",3
130879,7054,remade for viewers who were in diapers when the original was released in 1987 .,2
144805,7861,"represents the worst kind of filmmaking , the kind that pretends to be passionate and truthful but is really frustratingly timid and soggy",1
142096,7708,", human moments",3
39816,1903,More dutiful than enchanting ... terribly episodic and lacking the spark of imagination that might have made it an exhilarating,0
17540,760,develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times .,3
45646,2218,deeply unpleasant,0
147979,8054,The charming result is Festival in Cannes .,3
128094,6891,about as overbearing and over-the-top as the family,0
60194,3037,adventure tale,2
126660,6809,fantasy fetishes,2
14898,640,the audience,2
7797,316,Hollywood counterparts,2
69987,3562,a predictable connect-the-dots course,1
135611,7326,", it 's one of the most beautiful , evocative works I 've seen .",4
73968,3782,Mandy Moore leaves a positive impression,4
94356,4924,who are not an eighth grade girl,2
154909,8475,'s no getting around the fact that this is Revenge Of The Nerds Revisited -- again .,3
148105,8060,female-bonding,2
139275,7550,", wonderful",4
95877,5009,may be the most oddly honest Hollywood document of all,3
42335,2040,'ve seen the hippie-turned-yuppie plot before,1
12954,556,bite,1
150337,8188,Kissing Jessica,2
53694,2665,coastal,2
130303,7019,is never clear,1
67379,3420,was a freshman fluke,1
39725,1897,so desperate for attention it nearly breaks its little neck trying to perform entertaining tricks,0
133132,7180,less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series .,0
122382,6561,reading your scripts before signing that dotted line,1
42912,2073,the sickly sweet gender normative narrative,1
73862,3778,a bad run,0
72452,3702,numbingly dull,0
64392,3260,"Brown 's saga , like many before his , makes for snappy prose but a stumblebum of a movie .",2
93723,4887,a film that affirms the nourishing aspects of love and companionship,4
109671,5811,Less than fresh,0
67339,3417,adds substantial depth to this shocking testament to anti-Semitism and neo-fascism .,4
143805,7804,has crafted here a worldly-wise and very funny script .,4
103667,5468,", `` MIB II '' succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless .",4
101594,5346,powerful and astonishingly vivid Holocaust drama,4
69748,3546,get through,2
125736,6755,the Wal-Mart checkout line,1
18108,790,"It shares the first two films ' loose-jointed structure ,",1
94808,4946,the film idiotically uses the website feardotcom.com or the improperly hammy performance from poor Stephen Rea,0
136118,7355,especially grateful for freedom,4
134454,7253,The problem with movies about angels,1
79342,4086,Kudos to the most enchanting film of the year,4
90139,4692,"We never truly come to care about the main characters and whether or not they 'll wind up together , and Michele 's spiritual quest is neither amusing nor dramatic enough to sustain interest .",0
126994,6828,"inventive , consistently intelligent",4
20177,898,"visually transforms the dreary expanse of dead-end distaste the characters inhabit into a poem of art , music and metaphor .",4
14821,637,", Madonna is one helluva singer .",4
87426,4535,about making the right choice in the face of tempting alternatives,2
46799,2278,incongruous,1
53298,2645,wore out its welcome with audiences several years ago,0
65732,3332,this is the ultimate movie experience,4
35472,1669,Sandler is losing his touch,1
7394,301,shallow and glib,0
41201,1975,"succeeds with its dark , delicate treatment of these characters and its unerring respect for them",3
53549,2655,I saw,2
101192,5318,predictable plot and paper-thin supporting characters,1
52931,2624,"Director Carl Franklin , so crisp and economical in One False Move , bogs down in genre cliches here .",3
3981,150,"failing ,",1
57626,2906,so it 's not a brilliant piece of filmmaking,0
113372,6024,"bang your head on the seat in front of you , at its cluelessness , at its idiocy",1
39366,1880,finest non-Bondish performance,4
58015,2924,"enriched by an imaginatively mixed cast of antic spirits , headed by Christopher Plummer as the subtlest and most complexly evil Uncle Ralph I 've ever seen in the many film and",4
73044,3730,effort to disguise it as an unimaginative screenwriter 's invention,1
57364,2892,'s as if a bored Cage spent the duration of the film 's shooting schedule waiting to scream : `` Got AIDS yet,0
2489,95,tumbleweeds blowing through the empty theatres,0
35285,1658,Argento,3
99088,5197,and just plain dumb,0
73856,3778,"assume he had a bad run in the market or a costly divorce , because there is no earthly reason other than money why this distinguished actor would stoop so low",0
100664,5285,A muddy psychological thriller,1
23699,1077,"If the material is slight and admittedly manipulative , Jacquot preserves Tosca 's intoxicating ardor through his use of the camera .",3
19630,863,this rude and crude film does deliver a few gut-busting laughs,3
122364,6559,its own meager weight,1
98378,5156,Half Past Dead -- or for Seagal,1
100734,5291,Peppered with witty dialogue and inventive moments .,4
113275,6017,it is and,2
124032,6659,The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael .,4
69059,3508,"see an artist , still committed to growth in his ninth decade",4
15533,666,sleek advert,2
53176,2638,"It 's an ambitious film ,",3
24550,1117,`` Serving Sara '' has n't much more to serve than silly fluff,0
120061,6421,ignoring what the filmmakers clearly believe,1
80515,4147,is turning in some delightful work on indie projects .,4
100038,5249,"with dramatic punch , a haunting ode to humanity",4
75410,3867,with passion,3
108046,5716,emerges with yet another remarkable yet shockingly little-known perspective .,4
84889,4390,to keep the plates spinning as best he can,2
80843,4166,of the Pierce Brosnan James Bond,2
127556,6861,"guns , expensive cars",2
142970,7760,'s a fun one .,3
30677,1427,that suggests it,2
140372,7617,archive footage,2
119632,6398,Starts as a tart little lemon drop of a movie and,3
78757,4053,gargantuan leaps of faith just to watch it,1
104536,5517,"good , Sonny",3
48010,2342,Precocious smarter-than-thou wayward teen,3
86388,4472,watching such a character,2
146407,7963,A manically generous Christmas,3
30162,1399,'s best served cold,3
68037,3452,willing,2
74072,3790,letting you share her one-room world for a while,3
143955,7813,does n't give you enough to feel good about .,1
136937,7406,One fantastic -LRB- and educational -RRB-,3
116364,6205,to decide what annoyed me most about God is Great,0
80203,4133,Spy Kids franchise,2
129021,6939,touching and tender,4
57331,2889,Goodfellas and at least a half dozen other trouble-in-the-ghetto flicks,1
98175,5144,the slippery slope,1
135402,7312,A marvelous performance by Allison Lohman,4
86620,4485,counter-cultural,3
14571,628,never clearly defines his characters or gives us a reason to care about them .,0
101396,5332,A brutal and funny work .,4
113438,6028,surprising discovery,3
119039,6363,The riveting performances by the incredibly flexible cast make Love a joy to behold .,4
17600,762,help Chicago make the transition from stage to screen with considerable appeal intact .,3
132443,7142,is a seriously intended movie that is not easily forgotten .,4
18004,784,'re simply not funny performers,1
72495,3704,Birot 's,1
139140,7542,give them credit for : The message of the movie,3
54377,2702,"potboiler until its absurd , contrived , overblown , and entirely implausible finale",0
136807,7400,"Gaghan captures the half-lit , sometimes creepy intimacy of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing .",0
97575,5104,"Are monsters born , or made ?",2
97008,5071,to go in knowing full well what 's going to happen,2
1105,41,Tartakovsky 's team,2
79757,4106,modern girl 's,2
108372,5735,achieve the popularity of My Big Fat Greek Wedding,3
33904,1591,much worse than bland or,1
97017,5071,to let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists,3
35458,1668,you 'll leave the theater wondering why these people mattered,0
71684,3657,film revels,2
106373,5617,almost unbearably,0
103448,5456,"is an inspirational love story , capturing the innocence and idealism of that first encounter",4
12637,543,is its low-key way of tackling what seems like done-to-death material,1
35482,1670,undeniably intriguing,4
142233,7716,guilt-suffused melodrama,1
19029,835,"After all the big build-up , the payoff for the audience , as well as the characters , is messy , murky , unsatisfying .",2
70304,3582,`` The Quiet American '' begins in Saigon in 1952 .,2
153150,8362,globalizing,2
111954,5942,essentially ruined -- or,0
88804,4613,"the humor , characterization , poignancy , and intelligence of a bad sitcom",0
54039,2685,"are paper-thin , and their personalities undergo radical changes when it suits the script",0
76264,3914,loud and boring,0
80810,4163,being shrill,2
113892,6055,Forget the Psychology 101 study of romantic obsession and just watch the procession of costumes in castles and this wo n't seem like such a bore .,1
92508,4818,finally have the worthy successor to A Better Tomorrow and The Killer which they have been patiently waiting for .,3
94217,4917,"an inexplicable , utterly distracting blunder at the very end",0
47610,2321,Gaunt,1
139630,7575,a real danger less sophisticated audiences will mistake it for an endorsement of the very things that Bean abhors,1
82651,4267,some of the best special effects,3
51193,2520,to the core,3
39962,1911,Predictable storyline and,1
115077,6130,all plasma conduits,2
53163,2637,"a beautiful film ,",4
50777,2498,"there 's no denying the potency of Miller 's strange , fleeting brew of hopeful perseverance and hopeless closure .",3
1147,42,home,2
88538,4600,like whether compromise is the death of self ... this Orgasm -LRB- wo n't be an -RRB- exceedingly memorable one for most people .,1
96054,5017,someone made off with your wallet,1
100409,5268,spins the multiple stories in a vibrant and intoxicating fashion,4
78441,4034,my future,2
79214,4079,such a potentially sudsy set-up,2
149653,8146,is the cold comfort that Chin 's film serves up with style and empathy,3
67687,3437,Adam Sandler 's heart,2
115720,6166,of impossible disappearing\/reappearing acts,1
53324,2646,are detailed down to the signs on the kiosks,2
118033,6305,"contemplative , and sublimely beautiful",4
98475,5161,and Wesley Snipes,2
68996,3504,chilling movie,3
68125,3457,frustrated,1
55838,2792,protecting her cub,2
77214,3972,`` Punch-Drunk Love '',2
17127,743,enters,2
94201,4916,may not always,2
125217,6728,"boring , pretentious waste",0
50095,2460,grotesque and boring,1
44071,2135,", it could have been a thinking man 's monster movie",1
84173,4348,generation gap,2
137851,7460,An enjoyable comedy,4
20264,902,"throwing out so many red herrings , so many false scares ,",1
97658,5112,This stuck pig of a movie flails limply between bizarre comedy and pallid horror .,0
149443,8134,bring you into the characters so much as it has you study them,2
33576,1574,", debut indie effort",2
64367,3258,in both its characters and its audience,2
47631,2321,cunning to the aging Sandeman,2
20200,898,metaphor,3
146212,7951,"Rifkin no doubt fancies himself something of a Hubert Selby Jr. , but there is n't an ounce of honest poetry in his entire script ;",0
124548,6691,will probably find it familiar and insufficiently cathartic,1
60228,3039,it attractive throughout,3
29035,1344,a fresh way,3
88751,4611,Rifkin 's references are ... impeccable throughout .,4
74656,3828,"of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject -- a teenage boy in love with his stepmother",4
126405,6795,an absolute delight for all audiences,4
91544,4764,Believes so fervently in humanity that it feels almost anachronistic,3
79933,4118,"Unfortunately , One Hour Photo lives down to its title .",0
14818,637,"As an actress , Madonna is one helluva singer .",4
111946,5942,"The explosion essentially ruined -- or , rather , overpowered -- the fiction of the movie for me",1
57323,2889,remarkably engaging despite being noticeably derivative of Goodfellas and at least a half dozen other trouble-in-the-ghetto flicks,4
60294,3044,redeemable,3
37577,1786,"the movie runs a good race , one that will have you at the edge of your seat for long stretches . '",3
33238,1557,careful,2
13028,561,"As the movie dragged on , I thought I heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign .",0
13973,602,A really funny fifteen-minute,4
5307,210,depraved,0
57120,2877,Take Care is nicely performed by a quintet of actresses,4
83111,4289,more of an ordeal than an amusement,0
45712,2223,can take the grandkids or the grandparents and never worry about anyone being bored,4
151531,8265,quite a nosedive,0
35200,1655,Burns 's strongest film since The Brothers McMullen,4
40135,1922,their own pseudo-witty copycat interpretations,1
45142,2192,a weak and ineffective ghost story without a conclusion or pay off .,0
45878,2231,"unlikable , uninteresting ,",0
129832,6989,quite admirable,4
43312,2093,daft by half ...,1
22697,1028,that the ` true story ' by which All the Queen 's Men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen,0
59388,2995,"Slow , silly and unintentionally",0
136448,7377,better elsewhere,1
101634,5349,restage the whole thing,1
126480,6801,have you talking 'til the end of the year,4
51536,2538,"manages to take us to that elusive , lovely place where we suspend our disbelief",4
1239,46,like and more experimental in its storytelling,2
25827,1183,"get the job done , running off the limited chemistry created by Ralph Fiennes and Jennifer Lopez",2
114348,6081,cleverly captures the dry wit that 's so prevalent on The Rock,4
143895,7810,The movie is like Scorsese 's Mean Streets redone by someone who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like Leather Warriors and Switchblade Sexpot .,1
116854,6234,sweet without the decay factor,4
124241,6671,italicizes,2
100640,5283,", funny and touching",4
87770,4558,"Please , someone , stop Eric Schaeffer before he makes another film .",0
95638,4994,Iwai 's gorgeous visuals seduce .,3
135447,7315,stretched out to feature,1
16330,703,"is great fun , full of the kind of energy it 's documenting",4
22251,999,small part thanks,3
117289,6258,properly spooky film,4
57237,2883,undeniably moving film,4
79048,4068,", you 'll enjoy at least the `` real '' portions of the film .",3
70585,3598,Knows how to make our imagination,3
147724,8038,"so much that this arrogant Richard Pryor wannabe 's routine is offensive , puerile and unimaginatively foul-mouthed if it was at least funny",1
108720,5755,"like one of -LRB- Spears ' -RRB- music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it .",0
130812,7048,to the nonconformist in us all,3
29825,1383,"to the bravery and dedication of the world 's reporters who willingly walk into the nightmare of war not only to record the events for posterity , but to help us",3
62112,3140,most ingenious,4
124298,6675,"suspense , surprise and consistent emotional conviction",3
9587,399,to the existence of this film,2
64602,3269,goodies,4
113684,6042,22-year-old girlfriend,2
51873,2559,allows his cast,2
12860,553,"The color sense of Stuart Little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is .",3
69031,3507,Not since Ghostbusters has a film used Manhattan 's architecture in such a gloriously goofy way .,4
140904,7642,of his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum,1
77187,3970,family warmth,3
64885,3285,"from watching a movie that is dark -LRB- dark green , to be exact -RRB-",2
138690,7515,keep my attention,4
17551,760,as a detailed personal portrait,3
85934,4446,a spirited film and a must-see,4
112721,5986,A funny and touching film that is gorgeously,4
136017,7348,its most,2
24388,1109,Those who are only mildly curious,2
49274,2411,"to give his audience a single character worth rooting for -LRB- or worth rooting against , for that matter -RRB-",2
125215,6728,"a boring , pretentious waste of nearly two hours",0
86870,4501,interesting movie,4
33357,1563,"to Kline 's superbly nuanced performance , that pondering",4
143609,7794,configurations,2
21476,961,Oscar-winning,4
106556,5626,rapt spell,3
108057,5717,"A witty , trenchant , wildly unsentimental but flawed",1
147093,8005,"Stealing Harvard , which fails to keep 80 minutes from seeming like 800",0
119853,6411,either needs more substance to fill the time or some judicious editing,1
151332,8250,", they are pitted against shimmering cinematography that lends the setting the ethereal beauty of an Asian landscape painting .",4
9973,418,I hoped I would -- with moist eyes,2
102398,5389,try to guess the order in which the kids in the house will be gored,1
91015,4735,"do n't really seem all that profound , at least by way of what can be gleaned from this three-hour endurance test built around an hour 's worth of actual material .",0
71486,3646,obnoxious 88-minute,0
76741,3946,subdues,2
52132,2573,the film sits with square conviction and touching good sense on the experience of its women,4
110772,5868,ca n't act,0
124675,6699,Starship,2
1577,59,"has a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements",3
63961,3236,far worse,1
49541,2426,", with some real shocks in store for unwary viewers .",3
83729,4328,does n't have a passion for the material .,1
152829,8341,Kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business .,1
47531,2317,a tarantula,2
97544,5101,characteristically startling visual style and,4
98285,5151,walked out muttering words like `` horrible '' and `` terrible,0
107128,5660,"once the true impact of the day unfolds , the power of this movie is undeniable .",4
122470,6567,who-wrote-Shakespeare,2
132477,7144,The stunt work is top-notch,4
5937,237,rip-roaring comedy action,4
38770,1849,"it has some of the funniest jokes of any movie this year , including those intended for adults",4
111763,5931,fluttering,3
111317,5903,"Unfortunately , the experience of actually watching the movie is less compelling than the circumstances of its making .",0
71792,3663,"It is dark , brooding and slow , and takes its central idea way too seriously .",0
117417,6266,'s unfortunate,1
138367,7491,spy-savvy siblings,3
110818,5872,"As chilling and fascinating as Philippe Mora 's modern Hitler-study , Snide and Prejudice .",3
35402,1664,A good music documentary,4
